E	A
1	-8.7
2	-8.73
3	-8.93
4	-8.71
5	-8.71
6	-8.73
7	-8.7
8	-8.8
9	-8.75
10	-8.66
11	-8.71
12	-8.69
13	-8.62
14	-8.7
15	-8.6
16	-8.72
17	-8.76
18	-8.66
19	-8.61
20	-8.81
21	-8.53
22	-8.61
23	-8.71
24	-8.63
25	-8.75
26	-8.79
27	-8.79
28	-8.68
29	-8.59
30	-8.69
31	-8.68
32	-8.63
33	-8.68
34	-8.81
35	-8.69
36	-8.71
37	-8.69
38	-8.72
39	-8.72
40	-8.65
41	-8.55
42	-8.62
43	-8.8
44	-8.78
45	-8.76
46	-8.69
47	-8.73
48	-8.65
49	-8.73
50	-8.65
51	-8.75
52	-8.78
53	-8.63
54	-8.64
55	-8.71
56	-8.89
57	-8.64
58	-8.73
59	-8.57
60	-8.79
61	-8.76
62	-8.74
63	-8.61
64	-8.69
65	-8.6
66	-8.73
67	-8.76
68	-8.65
69	-8.7
70	-8.59
71	-8.68
72	-8.69
73	-8.65
74	-8.64
75	-8.71
76	-8.72
77	-8.61
78	-8.78
79	-8.78
80	-8.82
81	-8.8
82	-8.79
83	-8.72
84	-8.8
85	-8.75
86	-8.78
87	-8.72
88	-8.78
89	-8.64
90	-8.75
91	-8.72
92	-8.66
93	-8.74
94	-8.8
95	-8.63
96	-8.74
97	-8.69
98	-8.65
99	-8.73
100	-8.68
101	-8.78
102	-8.75
103	-8.76
104	-8.71
105	-8.77
106	-8.69
107	-8.71
108	-8.81
109	-8.68
110	-8.66
111	-8.76
112	-8.73
113	-8.77
114	-8.63
115	-8.83
116	-8.82
117	-8.67
118	-8.68
119	-8.65
120	-8.78
121	-8.67
122	-8.73
123	-8.62
124	-8.75
125	-8.72
126	-8.77
127	-8.71
128	-8.63
129	-8.72
130	-8.63
131	-8.81
132	-8.78
133	-8.6
134	-8.58
135	-8.76
136	-8.76
137	-8.68
138	-8.75
139	-8.71
140	-8.7
141	-8.65
142	-8.78
143	-8.67
144	-8.76
145	-8.84
146	-8.61
147	-8.69
148	-8.8
149	-8.74
150	-8.74
151	-8.66
152	-8.6
153	-8.71
154	-8.64
155	-8.78
156	-8.62
157	-8.69
158	-8.74
159	-8.76
160	-8.75
161	-8.73
162	-8.79
163	-8.7
164	-8.66
165	-8.76
166	-8.65
167	-8.78
168	-8.61
169	-8.76
170	-8.63
171	-8.51
172	-8.62
173	-8.69
174	-8.61
175	-8.56
176	-8.71
177	-8.84
178	-8.72
179	-8.73
180	-8.61
181	-8.79
182	-8.57
183	-8.67
184	-8.68
185	-8.65
186	-8.69
187	-8.78
188	-8.62
189	-8.69
190	-8.65
191	-8.78
192	-8.58
193	-8.78
194	-8.78
195	-8.71
196	-8.82
197	-8.69
198	-8.73
199	-8.73
200	-8.6
201	-8.67
202	-8.69
203	-8.68
204	-8.77
205	-8.73
206	-8.65
207	-8.62
208	-8.66
209	-8.63
210	-8.69
211	-8.73
212	-8.77
213	-8.55
214	-8.58
215	-8.69
216	-8.76
217	-8.63
218	-8.61
219	-8.73
220	-8.72
221	-8.69
222	-8.72
223	-8.58
224	-8.63
