E	V
1	-8.044256147569799
2	-8.0841672043013
3	-8.293525334361217
4	-7.971149541517366
5	-8.057389856039611
6	-8.099841289832474
7	-8.091723746970178
8	-8.216904810515471
9	-8.127505020100564
10	-7.978530998503967
11	-8.057389856039611
12	-8.095105051290567
13	-8.076308911237271
14	-8.091723746970176
15	-7.892893218813452
16	-8.055470090966555
17	-8.12564993891385
18	-7.949788763817412
19	-7.918696882691825
20	-8.166649395741327
21	-7.874942750593506
22	-7.979206848483593
23	-7.984810369627366
24	-7.92778920543757
25	-8.111642733259815
26	-8.107431322136739
27	-8.09293472328626
28	-8.049444689182621
29	-7.972019417780785
30	-8.095105051290565
31	-8.098966438146642
32	-7.971896664649085
33	-7.919999999999999
34	-8.182385468619472
35	-8.062385468619471
36	-7.99873352391667
37	-8.031289137785022
38	-8.040588489941479
39	-8.040588489941479
40	-7.9961651584689
41	-7.896165158468899
42	-7.88815302145872
43	-8.234314575050764
44	-8.078858074281674
45	-8.141615006650387
46	-7.932438121339253
47	-8.039275742426835
48	-7.966260283441133
49	-8.099841289832474
50	-8.043782217350893
51	-8.051787997811553
52	-8.170409973834872
53	-7.942177348439295
54	-7.983951221325732
55	-8.088791500380108
56	-8.275264284427854
57	-8.015180025927469
58	-8.039275742426836
59	-7.902841847835163
60	-8.107431322136739
61	-8.158003322268303
62	-8.146367116813767
63	-7.96354814564424
64	-8.031289137785022
65	-7.936675041928919
66	-8.166883670987957
67	-7.996848638866443
68	-7.966260283441133
69	-7.999999999999998
70	-7.895809824327655
71	-7.988913898273159
72	-7.973131811279088
73	-8.060508693872421
74	-7.999375304878122
75	-7.99873352391667
76	-8.086280819289806
77	-7.963548145644241
78	-8.078858074281674
79	-8.123037291773725
80	-8.13618716010885
81	-8.151925930159216
82	-8.201867361898694
83	-8.01176275161497
84	-8.092893218813453
85	-8.0961651584689
86	-8.138439402706181
87	-7.984065220281036
88	-8.170409973834872
89	-7.968881530577501
90	-8.03760965756125
91	-7.997781196589289
92	-8.008540101003906
93	-8.067393131167991
94	-8.216904810515471
95	-7.987271441431144
96	-8.163458587784017
97	-7.987219806767436
98	-8.011642733259816
99	-7.970329018587653
100	-8.065508340170512
101	-8.20415279804448
102	-8.03760965756125
103	-8.051198194133226
104	-8.02743132213674
105	-8.108864612957376
106	-8.046649395741326
107	-8.04224255900814
108	-8.136278989491942
109	-8.098966438146642
110	-7.964011494347787
111	-8.08
112	-8.14939686532021
113	-8.155915315286238
114	-7.92778920543757
115	-8.136386274645607
116	-8.181564412019505
117	-8.03667543865724
118	-7.946787888807065
119	-7.966260283441134
120	-8.093268611464424
121	-7.9621158286838165
122	-8.099841289832474
123	-7.959999999999999
124	-8.111642733259815
125	-8.01176275161497
126	-8.108864612957376
127	-8.02743132213674
128	-8.003023126423312
129	-8.055470090966555
130	-7.971896664649084
131	-8.198526370151583
132	-8.107988095343542
133	-7.936675041928919
134	-7.993825964409886
135	-8.065449785832586
136	-8.110076927629123
137	-7.960555770055802
138	-8.066260283441133
139	-8.057389856039611
140	-8.029179606750063
141	-8.027505020100564
142	-8.170409973834872
143	-7.9621158286838165
144	-8.174850446466888
145	-8.180909717868637
146	-7.979206848483593
147	-7.987219806767436
148	-8.200000000000001
149	-8.038287808286046
150	-8.129754147904306
151	-7.993366667500041
152	-7.951925930159214
153	-8.04224255900814
154	-7.898110520360345
155	-8.170409973834872
156	-8.007137862158217
157	-7.945755416546414
158	-8.052686388902417
159	-8.094868434067363
160	-8.23279597836057
161	-8.115915315286239
162	-8.122242559008138
163	-7.971989011071947
164	-8.024075476176614
165	-8.065449785832586
166	-8.027505020100564
167	-8.123037291773725
168	-7.890347305987118
169	-8.065449785832586
170	-7.987271441431144
171	-7.83925414649064
172	-7.991032592259344
173	-8.00159604882017
174	-7.96354814564424
175	-7.922504901979631
176	-8.02743132213674
177	-8.165908018145892
178	-8.086280819289806
179	-8.053908290244586
180	-7.904379705507275
181	-8.13738985603961
182	-7.949435740635993
183	-7.990956555145402
184	-7.974592316458063
185	-7.9961651584689
186	-8.00159604882017
187	-8.138439402706181
188	-7.930362414017333
189	-8.031289137785022
190	-8.043782217350893
191	-8.093268611464424
192	-8.047458921772225
193	-8.123037291773725
194	-8.221788570521884
195	-7.984810369627366
196	-8.13618716010885
197	-7.987219806767436
198	-8.068864612957377
199	-8.0841672043013
200	-7.865153077165045
201	-8.005846403307187
202	-7.987219806767436
203	-8.082003344490957
204	-8.155915315286238
205	-8.14939686532021
206	-7.996165158468899
207	-7.991032592259344
208	-7.964011494347787
209	-7.987271441431144
210	-8.031289137785022
211	-8.068864612957377
212	-8.093908290244585
213	-7.8376096575612495
214	-7.84270765635333
215	-8.046649395741326
216	-8.158003322268303
217	-7.886293068473878
218	-7.904379705507275
219	-8.068864612957377
220	-7.997781196589289
221	-8.00159604882017
222	-8.118668144865085
223	-7.884586453971451
224	-7.942177348439295
225	-8.024558950669615
226	-7.945016556472924
227	-8.082003344490957
228	-8.107539474777724
229	-8.070692676770085
230	-7.9763862746456065
231	-8.228117658368866
232	-8.108392021690038
233	-7.956044165576181
234	-8.014434539959893
235	-8.02743132213674
236	-8.139841289832473
237	-7.912052633857173
238	-8.154220486113518
239	-7.954142872020712
240	-8.167544467966325
241	-7.904379705507275
242	-7.959999999999999
243	-7.93327381189622
244	-8.181077816683695
245	-8.105103314606536
246	-8.012934723286262
247	-8.086280819289806
248	-8.055470090966555
249	-8.060508693872421
250	-7.973131811279088
251	-8.060508693872421
252	-8.215105051290566
253	-7.81826866501389
254	-8.012934723286262
255	-8.04224255900814
256	-8.010066669629893
257	-8.049444689182621
258	-8.094868434067363
259	-8.010067570652563
260	-8.229179606750064
261	-8.095105051290567
262	-8.07314396995515
263	-7.799999999999999
264	-8.08
265	-8.051787997811553
266	-8.124167204301298
267	-8.044256147569799
268	-7.884586453971451
269	-8.180909717868637
270	-7.984810369627366
271	-8.249732206886742
272	-7.984810369627366
273	-8.265383015045519
274	-8.072897182552142
275	-8.082003344490957
276	-8.052438121339254
277	-7.960555770055802
278	-7.895539405855344
279	-7.968881530577501
280	-8.13738985603961
281	-7.990956555145402
282	-8.044256147569799
283	-7.990956555145402
284	-7.983951221325732
285	-7.971989011071947
286	-8.215105051290566
287	-8.086280819289806
288	-8.072897182552142
289	-8.051787997811553
290	-8.243782217350892
291	-8.181045591987017
292	-8.107431322136739
293	-8.132421553266854
294	-8.046649395741326
295	-8.213699744351036
296	-7.978530998503967
297	-8.127505020100564
298	-7.96354814564424
299	-8.107539474777726
300	-7.9961651584689
301	-7.956872968898144
302	-7.942177348439295
303	-8.160508693872421
304	-8.08
305	-7.939714343999537
306	-8.149396865320208
307	-8.082428711089056
308	-8.259033012149601
309	-7.981045591987018
310	-7.911714341758676
311	-8.160508693872421
312	-8.039275742426835
313	-8.115915315286239
314	-8.075500200160159
315	-8.031289137785022
316	-8.078526370151582
317	-8.090438765364073
318	-8.094868434067363
319	-8.276044165576183
320	-8.064737810310092
321	-8.078526370151582
322	-7.907179676972448
323	-8.12564993891385
324	-8.079275742426834
325	-8.111642733259815
326	-7.999375304878122
327	-8.243782217350892
328	-8.139841289832473
329	-8.049444689182621
330	-8.078526370151582
331	-7.911714341758676
332	-8.021077816683695
333	-7.798889649924254
334	-8.139841289832473
335	-7.9961651584689
336	-8.081045591987017
337	-7.959315389514737
338	-8.091723746970178
339	-8.146367116813767
340	-8.064946810517107
341	-8.078526370151582
342	-8.102262191540781
343	-8.082428711089056
344	-8.081045591987017
345	-7.9706002401921925
346	-8.078526370151582
347	-8.123037291773725
348	-8.151289137785023
349	-7.9688815305775
350	-7.942177348439295
351	-8.033780223143859
352	-8.168944446614754
353	-7.904379705507275
354	-7.944442872860288
355	-8.168791500380106
356	-8.086280819289806
357	-8.043782217350893
358	-8.121867361898696
359	-7.988418750292198
360	-7.90194707715935
361	-7.971896664649084
362	-8.247750061005371
363	-7.9763862746456065
364	-7.945016556472924
365	-8.172421553266853
366	-7.993825964409886
367	-8.167544467966325
368	-8.081045591987017
369	-8.029179606750063
370	-8.107431322136739
371	-8.09293472328626
372	-7.99873352391667
373	-8.113809735261821
374	-8.03667543865724
375	-7.974592316458063
376	-8.005846403307187
377	-8.139841289832473
378	-7.936675041928919
379	-8.086280819289806
380	-8.088791500380108
381	-8.138439402706181
382	-7.981045591987018
383	-8.03667543865724
384	-8.04224255900814
385	-8.070692676770083
386	-8.163458587784017
387	-8.093908290244585
388	-8.049444689182621
389	-8.139841289832473
390	-8.168791500380106
391	-7.951787997811554
392	-8.172421553266853
393	-8.065449785832586
394	-8.044256147569799
395	-8.091723746970178
396	-8.200000000000001
397	-8.052667026637975
398	-8.105103314606536
399	-8.166649395741327
400	-8.055470090966555
401	-8.029179606750063
402	-8.183558599703103
403	-7.862576169033493
404	-7.90700689130742
405	-8.151925930159216
406	-7.99873352391667
407	-8.107988095343542
408	-8.124167204301298
409	-8.111642733259815
410	-7.836760063111068
411	-8.0961651584689
412	-8.111642733259815
413	-7.9621158286838165
414	-8.090438765364073
415	-8.127505020100564
416	-8.149396865320208
417	-7.954142872020711
418	-8.026025937084102
419	-7.993366667500041
420	-7.935845320390733
421	-8.183558599703103
422	-8.01627898949194
423	-8.154220486113518
424	-8.167544467966325
425	-8.151289137785023
426	-8.029179606750063
427	-8.072897182552142
428	-8.0
429	-7.988913898273159
430	-8.136278989491942
431	-8.031289137785022
432	-8.04
433	-8.04224255900814
434	-7.988913898273159
435	-8.026025937084102
436	-8.155915315286238
437	-8.00353861898849
438	-8.150970852652891
439	-7.945755416546414
440	-8.03760965756125
441	-7.916011363728078
442	-8.099841289832474
443	-7.997781196589289
444	-8.139123480952318
445	-7.954690161983138
446	-8.180909717868637
447	-8.026025937084102
448	-8.151289137785023
449	-7.999999999999998
450	-8.129754147904306
451	-8.155915315286238
452	-7.942177348439295
453	-8.046649395741326
454	-8.12564993891385
455	-8.135534432151902
456	-8.01176275161497
457	-8.124167204301298
458	-7.934405002735881
459	-8.068864612957377
460	-8.107431322136739
461	-8.122242559008138
462	-8.107219806767436
463	-7.987219806767436
464	-8.166649395741327
465	-7.922165330172131
466	-8.018486583658351
467	-7.916011363728078
468	-7.99873352391667
469	-7.959999999999999
470	-7.997781196589289
471	-8.088791500380108
472	-8.166088691029127
473	-8.02743132213674
474	-8.107219806767436
475	-8.046649395741326
476	-7.922165330172131
477	-8.166260283441133
478	-8.066260283441133
479	-7.890347305987118
480	-7.893973039661066
481	-7.9621158286838165
482	-8.069084032497056
483	-8.023708047683302
484	-8.010342546121812
485	-8.005846403307187
486	-8.115915315286239
487	-7.974592316458063
488	-8.015180025927469
489	-8.039275742426836
490	-8.02417879327307
491	-8.044256147569799
492	-8.048054056522052
493	-8.230423881080654
494	-8.00527784375825
495	-8.053908290244586
496	-8.005846403307187
497	-7.990956555145402
498	-7.999375304878122
499	-8.028708334826655
500	-8.134472732120566
501	-7.9993753048781215
502	-8.072897182552142
503	-8.166649395741327
504	-7.918696882691825
505	-7.987271441431144
506	-8.189396865320207
507	-8.031395037811883
508	-8.113581609465367
509	-8.072897182552142
510	-8.02743132213674
511	-8.150956555145402
512	-7.978530998503967
513	-7.945755416546414
514	-7.960555770055802
515	-8.015180025927469
516	-8.03760965756125
517	-8.029179606750063
518	-8.040588489941479
519	-7.945018518772551
520	-8.014434539959893
521	-8.097816225679907
522	-8.011752559554159
523	-8.01176275161497
524	-8.086280819289806
525	-8.052667026637975
526	-8.015180025927469
527	-8.00159604882017
528	-7.9763862746456065
529	-8.094868434067363
530	-8.160508693872421
531	-8.123037291773725
532	-8.10717967697245
533	-7.954142872020712
534	-7.949788763817412
535	-7.993825964409886
536	-8.086280819289806
537	-8.151289137785023
538	-8.02417879327307
539	-8.095105051290567
540	-8.158003322268303
541	-7.929154396189081
542	-7.907179676972449
543	-8.115915315286239
544	-8.113581609465367
545	-8.108392021690038
546	-8.01090334446613
547	-7.916011363728078
548	-8.008540101003906
549	-7.973131811279088
550	-8.070692676770083
551	-8.111642733259815
552	-8.029179606750063
553	-8.078858074281674
554	-7.984810369627366
555	-7.971896664649085
556	-7.981045591987018
557	-7.851668522645211
558	-8.158003322268303
559	-8.078526370151582
560	-8.081045591987017
561	-8.082428711089056
562	-8.197424703349066
563	-7.960555770055801
564	-7.975329541548551
565	-8.051787997811553
566	-8.124167204301298
567	-8.123037291773725
568	-8.065508340170512
569	-7.974592316458064
570	-8.056344469088536
571	-8.028708334826655
572	-8.167544467966325
573	-7.939714343999537
