E	V
1	-9.3557438524302
2	-9.3758327956987
3	-9.566474665638783
4	-9.448850458482635
5	-9.36261014396039
6	-9.360158710167527
7	-9.30827625302982
8	-9.38309518948453
9	-9.372494979899436
10	-9.341469001496034
11	-9.36261014396039
12	-9.284894948709432
13	-9.163691088762727
14	-9.308276253029822
15	-9.307106781186548
16	-9.384529909033446
17	-9.394350061086149
18	-9.37021123618259
19	-9.301303117308173
20	-9.453350604258674
21	-9.185057249406492
22	-9.240793151516407
23	-9.435189630372637
24	-9.332210794562432
25	-9.388357266740185
26	-9.47256867786326
27	-9.487065276713738
28	-9.310555310817378
29	-9.207980582219214
30	-9.284894948709434
31	-9.261033561853358
32	-9.288103335350916
33	-9.440000000000001
34	-9.437614531380529
35	-9.317614531380528
36	-9.421266476083332
37	-9.348710862214977
38	-9.399411510058522
39	-9.399411510058522
40	-9.303834841531101
41	-9.203834841531103
42	-9.351846978541278
43	-9.365685424949238
44	-9.481141925718324
45	-9.378384993349613
46	-9.447561878660746
47	-9.420724257573166
48	-9.333739716558867
49	-9.360158710167527
50	-9.256217782649108
51	-9.448212002188447
52	-9.389590026165127
53	-9.317822651560707
54	-9.296048778674269
55	-9.331208499619894
56	-9.504735715572147
57	-9.264819974072532
58	-9.420724257573164
59	-9.237158152164836
60	-9.47256867786326
61	-9.361996677731696
62	-9.333632883186233
63	-9.256451854355758
64	-9.348710862214977
65	-9.26332495807108
66	-9.293116329012044
67	-9.523151361133555
68	-9.333739716558867
69	-9.4
70	-9.284190175672345
71	-9.37108610172684
72	-9.40686818872091
73	-9.23949130612758
74	-9.28062469512188
75	-9.421266476083332
76	-9.353719180710195
77	-9.256451854355758
78	-9.481141925718324
79	-9.436962708226273
80	-9.50381283989115
81	-9.448074069840786
82	-9.378132638101304
83	-9.428237248385031
84	-9.507106781186549
85	-9.4038348415311
86	-9.421560597293817
87	-9.455934779718964
88	-9.389590026165127
89	-9.311118469422501
90	-9.46239034243875
91	-9.442218803410713
92	-9.311459898996095
93	-9.41260686883201
94	-9.38309518948453
95	-9.272728558568858
96	-9.316541412215983
97	-9.392780193232564
98	-9.288357266740185
99	-9.489670981412349
100	-9.294491659829488
101	-9.355847201955518
102	-9.46239034243875
103	-9.468801805866773
104	-9.392568677863261
105	-9.431135387042623
106	-9.333350604258673
107	-9.377757440991862
108	-9.48372101050806
109	-9.261033561853358
110	-9.355988505652213
111	-9.44
112	-9.310603134679791
113	-9.384084684713761
114	-9.332210794562432
115	-9.523613725354393
116	-9.458435587980496
117	-9.30332456134276
118	-9.413212111192935
119	-9.333739716558867
120	-9.466731388535575
121	-9.377884171316182
122	-9.360158710167527
123	-9.28
124	-9.388357266740185
125	-9.428237248385031
126	-9.431135387042623
127	-9.392568677863261
128	-9.25697687357669
129	-9.384529909033446
130	-9.288103335350916
131	-9.421473629848418
132	-9.452011904656457
133	-9.26332495807108
134	-9.166174035590114
135	-9.454550214167414
136	-9.409923072370876
137	-9.399444229944198
138	-9.433739716558867
139	-9.36261014396039
140	-9.370820393249936
141	-9.272494979899436
142	-9.389590026165127
143	-9.377884171316182
144	-9.345149553533112
145	-9.499090282131363
146	-9.240793151516405
147	-9.392780193232564
148	-9.4
149	-9.441712191713954
150	-9.350245852095695
151	-9.32663333249996
152	-9.248074069840786
153	-9.377757440991862
154	-9.381889479639655
155	-9.389590026165127
156	-9.232862137841781
157	-9.434244583453584
158	-9.427313611097583
159	-9.425131565932636
160	-9.26720402163943
161	-9.344084684713762
162	-9.45775744099186
163	-9.428010988928051
164	-9.295924523823386
165	-9.454550214167414
166	-9.272494979899436
167	-9.436962708226273
168	-9.329652694012882
