E	V
1	-18.807611577192777
2	-12.440790552331862
3	-11.962282941162348
4	-12.366431913239847
5	-12.06501789968487
6	-12.305159568448678
7	-12.119478608566581
8	-12.306807649071391
9	-12.602885287680962
10	-12.292208732477867
11	-12.159275235438727
12	-12.135093982748682
13	-12.275710177997137
14	-11.73878267675241
15	-12.345699394366793
16	-12.079175082348161
17	-12.414084886379268
18	-12.119523760432006
19	-12.354554901513701
20	-12.339866662715817
21	-11.862778604720928
22	-12.303455154651013
23	-12.308115453135608
24	-12.28022623276442
25	-12.119478608566581
26	-12.4473389188611
27	-12.066609463612853
28	-12.23052505121489
29	-12.451851913039754
30	-12.506899655526526
31	-12.393156826011257
32	-12.204969287237525
33	-12.700901113303608
34	-12.296356388039605
35	-12.439122638209712
36	-11.812122444953607
37	-12.163296733894828
38	-12.086551375447904
39	-12.243729513992024
40	-12.392858520014263
41	-12.472411778983073
42	-12.252633759436264
43	-12.444352915379191
44	-12.209072203437453
45	-12.221466188953324
46	-12.124667806444625
47	-12.29317121994613
48	-12.235492816420898
49	-12.43841572173357
50	-12.111727423043693
51	-12.161101054554816
52	-12.438035648704107
53	-12.473094134479775
54	-12.1174241001832
55	-12.20704983408516
56	-11.8094614640972
57	-12.009975124224178
58	-12.096180050237635
59	-12.404320120845918
60	-12.019282173379173
61	-12.399819812507312
62	-12.319106964841119
63	-12.128274255451439
64	-11.935626425204736
65	-12.372882839580331
66	-12.629050442687955
67	-12.105415589897031
68	-12.57939263787677
69	-12.214182418033346
70	-12.231994741448805
71	-11.88323123361426
72	-12.403746866293076
73	-11.719019372149269
74	-12.321091442959009
75	-12.360790552331864
76	-12.275277759538922
77	-12.172465316048175
78	-12.408701769063072
79	-12.417705214210592
80	-12.509714894455007
81	-12.266611026103622
82	-12.345040045399626
83	-12.540939982143925
84	-12.055750457875408
85	-12.319674393948999
86	-12.254629809330039
87	-11.94680042372877
88	-12.356136062788192
89	-12.059504889818292
90	-12.278460969082651
91	-12.424819467704179
92	-12.1308100332977
93	-12.401063589101751
94	-12.577509909377532
95	-12.181534336235423
96	-12.228111871316194
97	-12.218597671372528
98	-12.112218476253066
99	-12.21855719190019
100	-12.640742237791061
101	-12.065182345117709
102	-11.906399754651385
