E	A
1	-12.179999999999996
2	-13.716000000000001
3	-12.265999999999995
4	-12.259999999999993
5	-12.963999999999992
6	-13.646000000000006
7	-11.970000000000002
8	-14.354
9	-12.953999999999985
10	-13.125999999999998
11	-9.78
12	-9.59
13	-9.61
14	-9.63
15	-9.81
16	-9.85
17	-9.84
18	-9.86
19	-9.94
20	-9.82
21	-9.7
22	-9.8
23	-9.77
24	-9.93
25	-9.72
26	-9.69
27	-9.7
28	-9.56
29	-9.78
30	-9.61
31	-9.72
32	-9.81
33	-9.75
34	-9.69
35	-9.61
36	-9.82
37	-9.83
38	-9.78
39	-9.94
40	-9.91
41	-9.68
42	-9.92
43	-9.78
44	-9.82
45	-9.87
46	-9.94
47	-9.95
48	-9.73
49	-9.69
50	-9.63
51	-9.65
52	-9.8
53	-9.89
54	-9.7
55	-9.65
56	-9.67
57	-9.76
58	-9.88
59	-9.79
60	-9.73
61	-9.53
62	-9.7
63	-9.89
64	-9.87
65	-9.56
66	-9.84
67	-9.7
68	-9.82
69	-9.7
70	-9.59
71	-9.74
72	-9.77
73	-9.78
74	-9.9
75	-9.98
76	-9.86
77	-9.65
78	-9.48
79	-9.66
80	-9.72
81	-9.56
82	-9.68
83	-9.65
84	-9.65
85	-9.67
86	-9.84
87	-9.74
88	-9.9
89	-9.6
90	-9.63
91	-9.87
92	-9.91
93	-9.86
94	-9.76
95	-9.57
96	-9.85
97	-9.58
98	-9.76
99	-9.91
100	-9.85
101	-9.71
102	-9.75
103	-9.87
104	-9.57
105	-9.73
106	-10.03
107	-9.85
108	-9.92
109	-9.66
110	-9.7
111	-9.74
112	-9.68
113	-9.79
114	-9.88
115	-9.95
116	-9.72
117	-9.85
118	-9.79
119	-9.6
120	-9.69
121	-9.9
122	-9.71
123	-9.75
124	-9.68
125	-9.65
126	-9.73
127	-9.78
128	-9.97
129	-9.73
130	-9.79
131	-9.84
132	-9.65
133	-9.65
134	-9.63
135	-9.64
136	-9.89
137	-9.78
138	-9.59
139	-9.79
140	-9.77
141	-9.87
142	-9.83
143	-9.73
144	-9.92
145	-9.68
146	-9.77
147	-9.81
148	-9.79
149	-9.86
150	-9.83
151	-9.51
152	-9.71
153	-9.78
154	-9.56
155	-9.73
156	-9.62
157	-9.86
158	-10.01
159	-9.84
160	-9.96
161	-9.74
162	-10.0
163	-9.8
164	-9.84
165	-9.75
166	-9.44
167	-9.72
168	-9.78
169	-9.78
170	-9.73
171	-9.7
172	-9.66
173	-9.7
174	-9.83
175	-9.84
176	-9.79
177	-9.79
178	-9.67
179	-9.77
180	-9.67
181	-9.67
182	-9.8
183	-9.78
184	-9.76
185	-9.75
186	-10.06
187	-9.74
188	-9.74
189	-9.7
190	-9.68
191	-9.88
192	-9.67
193	-9.7
194	-9.71
195	-9.76
196	-9.68
197	-9.61
198	-9.83
199	-9.85
200	-9.78
201	-9.7
202	-9.85
203	-9.44
204	-9.95
205	-9.85
206	-9.88
207	-9.55
208	-9.77
209	-9.99
210	-9.83
211	-9.64
212	-9.72
213	-9.78
214	-9.75
215	-9.9
216	-9.86
217	-9.66
218	-9.78
219	-9.82
220	-9.54
221	-9.54
222	-9.82
223	-9.91
224	-9.82
225	-9.87
226	-9.8
227	-9.98
228	-9.72
229	-9.56
230	-9.57
231	-9.85
232	-9.82
233	-9.29
234	-9.83
235	-9.84
236	-9.7
237	-9.62
238	-9.87
239	-9.83
240	-9.91
241	-9.91
242	-9.7
243	-9.73
244	-9.69
245	-9.76
246	-9.79
247	-9.98
248	-10.01
249	-9.56
250	-9.69
251	-9.71
252	-9.67
253	-9.78
254	-9.91
255	-9.62
256	-9.65
257	-9.67
258	-9.78
259	-9.94
260	-9.8
261	-9.7
262	-9.69
263	-9.87
264	-9.72
265	-9.77
266	-9.77
267	-9.74
268	-9.77
269	-9.65
270	-9.75
271	-9.78
272	-9.71
273	-9.65
274	-9.85
275	-9.79
276	-9.81
277	-9.56
278	-9.83
279	-9.73
280	-9.67
281	-9.64
282	-9.7
283	-9.8
284	-9.98
285	-9.76
286	-9.68
287	-9.9
288	-9.73
289	-9.75
290	-9.75
291	-9.8
292	-9.95
293	-9.66
294	-9.89
295	-9.69
296	-9.78
297	-9.63
298	-9.68
299	-9.88
300	-9.46
301	-9.74
302	-9.85
303	-9.79
304	-9.74
305	-9.75
306	-9.72
307	-9.73
308	-9.54
309	-9.89
310	-9.82
311	-9.78
312	-9.85
313	-9.68
314	-9.82
315	-9.77
316	-9.8
317	-9.68
318	-9.74
319	-9.74
320	-9.7
321	-9.61
322	-9.84
323	-9.72
324	-9.75
325	-9.95
326	-9.85
327	-9.78
328	-9.81
329	-9.78
330	-9.74
331	-9.58
332	-9.73
333	-9.85
334	-9.77
335	-9.81
336	-9.83
337	-9.88
338	-9.48
339	-9.82
340	-9.71
341	-9.68
342	-9.75
343	-9.97
344	-9.54
345	-9.77
346	-9.73
347	-9.69
348	-9.96
349	-9.67
350	-9.79
351	-9.88
352	-9.71
353	-9.89
354	-9.69
355	-9.87
356	-9.71
357	-9.57
358	-9.9
359	-10.01
360	-9.91
361	-9.83
362	-9.86
363	-9.48
364	-9.57
365	-9.57
366	-9.78
367	-9.85
368	-9.76
369	-9.63
370	-9.71
371	-9.71
372	-9.49
373	-9.92
374	-9.61
375	-9.77
376	-9.85
377	-9.67
378	-9.9
379	-9.68
380	-9.74
381	-9.69
382	-9.71
383	-9.81
384	-9.76
385	-9.83
386	-9.86
387	-9.71
388	-9.55
389	-9.87
390	-9.66
391	-9.74
392	-9.82
393	-9.74
394	-9.77
395	-9.6
396	-9.74
397	-9.88
398	-9.69
399	-9.95
400	-9.72
401	-9.74
402	-9.79
403	-9.86
404	-9.64
405	-9.85
406	-9.85
407	-9.76
408	-9.61
409	-9.65
410	-9.91
411	-9.87
412	-10.01
413	-9.65
414	-9.79
415	-9.67
416	-9.94
417	-9.59
418	-9.56
419	-9.76
420	-9.6
421	-10.02
422	-9.65
423	-9.77
424	-9.66
425	-9.65
426	-9.84
427	-9.75
428	-9.8
429	-9.8
430	-9.83
431	-9.87
432	-9.75
