E	V
1	-6.618888016540108
2	-6.317743345806281
3	-6.105150604511747
4	-6.333304597767882
5	-6.634512450482098
6	-6.90309791017234
7	-7.3095534044759845
8	-6.437422137483813
9	-6.326431167851546
10	-7.0694569073345335
11	-5.870255423006273
12	-6.762883080545647
13	-6.261223548680713
14	-6.4508894312324925
15	-7.050371701386238
16	-6.7187382668412425
17	-5.959618787291726
18	-6.754373788436872
19	-6.4874398669
20	-6.5586659688786995
21	-6.0561893201354104
22	-6.572552489761327
23	-6.680995784149761
24	-6.404425180528031
25	-6.690952410150062
26	-7.3435066837739456
27	-6.7530877678033425
28	-7.1667253632299035
29	-6.545729815577776
30	-6.149540830604348
31	-6.66268979347737
32	-6.746094831307176
33	-6.693285904195081
34	-6.1318942414268225
35	-6.5044041448651555
36	-6.92031526686649
37	-6.343528820550983
38	-6.61279667562419
39	-6.899496067745664
40	-6.766702417241126
41	-6.40607738297503
42	-6.28081968571419
43	-6.959193341434273
44	-6.9540859052752255
45	-6.884930069752261
46	-7.033022189647075
47	-7.064445882800518
48	-7.012011826555518
49	-7.069323156831708
50	-6.47728225798269
51	-6.827192343511719
52	-6.745778302915436
53	-6.862104956212651
54	-5.7506162310945665
55	-7.206076583208399
56	-6.915858833158404
57	-6.587574132934796
58	-6.398464787782867
59	-7.597770851610161
60	-6.351945399644528
61	-7.519326988110893
62	-6.680172742058022
63	-6.330477180733842
64	-6.713642646016543
65	-7.433283198610121
66	-6.498912095101687
67	-6.511850624335507
68	-6.2816502605330715
69	-6.842318325714754
70	-6.650160014939217
71	-6.632420001296744
72	-6.809832274676311
73	-6.836399755768377
74	-6.495335099099362
75	-6.893905366581751
76	-6.246877285190044
77	-6.7022710566581765
78	-6.37783510525003
79	-6.917772271580661
80	-6.467662392738177
81	-6.263900332975957
82	-6.0709833411031715
83	-6.773386611368397
84	-6.955977435940957
85	-6.458852709361169
86	-6.939946481901575
87	-6.806433551616662
88	-7.240107855483059
89	-6.558750361916483
90	-5.855916667155446
91	-7.051664051520267
92	-6.44310665817909
93	-6.438623673509583
94	-6.835501301979146
95	-7.10725621026677
96	-6.797889679522321
97	-6.162467057235418
98	-6.357833971192863
99	-7.0469186087505475
100	-6.936878743442355
101	-8.608795290769791
102	-8.517457483812983
103	-8.328148030083007
104	-8.30844097222704
105	-8.689715480061624
106	-8.733084604815566
107	-8.420526419969168
108	-8.80460414330431
109	-8.599622708655076
110	-8.584038835561572
111	-8.792104874063002
112	-8.416784043380076
113	-8.799583423716562
114	-8.489299294854067
115	-8.610840282429825
116	-8.715319428208979
117	-8.58059844364735
118	-8.484222242699758
119	-8.51933351841571
120	-9.018334617360804
121	-8.613416669922128
122	-8.51531942820898
123	-8.544473218609253
124	-8.65437800311318
125	-8.626777447656186
126	-8.700566188948077
127	-8.59991150788976
128	-8.523453416415922
129	-8.447597622678167
