E	A
1	-8.75
2	-8.67
3	-8.7
4	-8.64
5	-8.72
6	-8.67
7	-8.64
8	-8.77
9	-8.79
10	-8.72
11	-8.72
12	-8.64
13	-8.8
14	-8.71
15	-8.69
16	-8.88
17	-8.74
18	-8.79
19	-8.65
20	-8.71
21	-8.7
22	-8.68
23	-8.58
24	-8.71
25	-8.69
26	-8.59
27	-8.72
28	-8.62
29	-8.83
30	-8.67
31	-8.65
32	-8.77
33	-8.64
34	-8.73
35	-8.75
36	-8.79
37	-8.78
38	-8.58
39	-8.74
40	-8.78
41	-8.58
42	-8.64
43	-8.58
44	-8.72
45	-8.72
46	-8.85
47	-8.81
48	-8.77
49	-8.71
50	-8.75
51	-8.68
52	-8.82
53	-8.69
54	-8.69
55	-8.81
56	-8.68
57	-8.78
58	-8.71
59	-8.7
60	-8.79
61	-8.72
62	-8.61
63	-8.76
64	-8.83
65	-8.76
66	-8.8
67	-8.64
68	-8.79
69	-8.64
70	-8.61
71	-8.7
72	-8.72
73	-8.64
74	-8.68
75	-8.69
76	-8.73
77	-8.75
78	-8.75
79	-8.74
80	-8.79
81	-8.59
82	-8.57
83	-8.77
84	-8.68
85	-8.8
86	-8.76
87	-8.64
88	-8.79
89	-8.77
90	-8.68
91	-8.54
92	-8.85
93	-8.72
94	-8.66
95	-8.76
96	-8.75
97	-8.71
98	-8.77
99	-8.69
100	-8.73
101	-8.66
102	-8.75
103	-8.63
104	-8.65
105	-8.67
106	-8.71
107	-8.66
108	-8.7
109	-8.66
110	-8.58
111	-8.68
112	-8.81
113	-8.69
114	-8.69
115	-8.63
116	-8.57
117	-8.72
118	-8.64
119	-8.61
120	-8.78
121	-8.73
122	-8.66
123	-8.66
124	-8.69
125	-8.82
126	-8.68
127	-8.73
128	-8.72
129	-8.68
130	-8.65
131	-8.68
132	-8.6
133	-8.79
134	-8.68
135	-8.65
136	-8.7
137	-8.78
138	-8.67
139	-8.75
140	-8.81
141	-8.74
142	-8.75
143	-8.65
144	-8.73
145	-8.71
146	-8.7
147	-8.76
148	-8.74
149	-8.65
150	-8.65
151	-8.55
152	-8.78
153	-8.68
154	-8.71
155	-8.71
156	-8.72
157	-8.61
158	-8.76
159	-8.65
160	-8.75
161	-8.65
162	-8.61
163	-8.67
164	-8.66
165	-8.78
166	-8.62
167	-8.78
168	-8.6
169	-8.7
170	-8.72
171	-8.78
172	-8.71
173	-8.65
174	-8.77
175	-8.67
176	-8.78
177	-8.75
178	-8.71
179	-8.67
180	-8.58
181	-8.67
182	-8.65
183	-8.65
184	-8.72
185	-8.8
186	-8.75
187	-8.75
188	-8.77
189	-8.82
190	-8.77
191	-8.63
192	-8.6
193	-8.73
194	-8.75
195	-8.77
196	-8.56
197	-8.73
198	-8.73
199	-8.86
200	-8.8
201	-8.77
202	-8.81
203	-8.66
204	-8.71
205	-8.69
206	-8.73
207	-8.65
208	-8.72
209	-8.62
210	-8.62
211	-8.69
212	-8.74
213	-8.71
214	-8.65
215	-8.63
216	-8.8
217	-8.7
218	-8.69
219	-8.72
220	-8.67
221	-8.71
222	-8.75
223	-8.72
224	-8.77
225	-8.64
226	-8.65
227	-8.7
228	-8.72
229	-8.71
230	-8.76
231	-8.66
232	-8.88
233	-8.65
234	-8.58
235	-8.71
236	-8.68
237	-8.68
238	-8.74
239	-8.69
240	-8.61
241	-8.57
242	-8.69
243	-8.61
244	-8.76
245	-8.7
246	-8.76
247	-8.7
248	-8.62
249	-8.63
250	-8.69
251	-8.75
252	-8.82
253	-8.82
254	-8.88
255	-8.62
256	-8.71
257	-8.67
258	-8.7
259	-8.62
260	-8.6
261	-8.73
262	-8.65
263	-8.68
264	-8.71
265	-8.67
266	-8.73
267	-8.74
268	-8.77
269	-8.77
270	-8.71
271	-8.74
272	-8.69
273	-8.65
274	-8.71
275	-8.78
276	-8.58
277	-8.67
278	-8.72
279	-8.68
280	-8.73
281	-8.74
282	-8.6
283	-8.79
284	-8.72
285	-8.67
286	-8.81
287	-8.61
288	-8.71
289	-8.56
290	-8.59
291	-8.6
292	-8.71
293	-8.76
294	-8.71
295	-8.63
296	-8.79
297	-8.85
298	-8.62
299	-8.63
300	-8.68
301	-8.66
302	-8.74
303	-8.66
304	-8.58
305	-8.74
306	-8.7
307	-8.7
308	-8.65
309	-8.59
310	-8.76
311	-8.76
312	-8.67
313	-8.76
314	-8.79
315	-8.62
316	-8.73
317	-8.72
318	-8.8
319	-8.68
320	-8.73
321	-8.72
322	-8.71
323	-8.64
324	-8.7
325	-8.58
326	-8.71
327	-8.68
328	-8.59
329	-8.71
330	-8.79
331	-8.72
332	-8.7
333	-8.72
334	-8.74
335	-8.7
336	-8.72
337	-8.65
338	-8.68
339	-8.62
340	-8.67
341	-8.7
342	-8.78
343	-8.7
344	-8.71
345	-8.61
346	-8.71
347	-8.73
348	-8.65
349	-8.8
350	-8.68
351	-8.74
352	-8.68
353	-8.71
354	-8.82
355	-8.75
356	-8.66
357	-8.79
358	-8.55
359	-8.75
360	-8.78
361	-8.71
362	-8.63
363	-8.76
364	-8.81
365	-8.65
366	-8.7
367	-8.74
368	-8.76
369	-8.7
370	-8.78
371	-8.74
372	-8.73
373	-8.79
374	-8.66
375	-8.79
376	-8.75
377	-8.77
378	-8.78
379	-8.78
380	-8.6
381	-8.75
382	-8.74
383	-8.7
384	-8.67
385	-8.78
386	-8.79
387	-8.64
388	-8.72
389	-8.75
390	-8.76
391	-8.67
392	-8.74
393	-8.78
394	-8.78
395	-8.76
396	-8.59
397	-8.74
398	-8.68
399	-8.69
400	-8.71
401	-8.62
402	-8.63
403	-8.72
404	-8.71
405	-8.69
406	-8.73
407	-8.66
408	-8.77
409	-8.78
410	-8.78
411	-8.73
412	-8.79
413	-8.71
414	-8.64
415	-8.67
416	-8.74
417	-8.58
418	-8.63
419	-8.75
420	-8.63
421	-8.78
422	-8.63
423	-8.68
424	-8.79
425	-8.66
426	-8.59
427	-8.67
428	-8.68
429	-8.8
430	-8.73
431	-8.78
432	-8.79
433	-8.68
434	-8.77
435	-8.75
436	-8.63
437	-8.77
438	-8.84
439	-8.67
440	-8.72
441	-8.77
442	-8.77
443	-8.68
444	-8.62
445	-8.75
446	-8.71
447	-8.73
448	-8.69
449	-8.85
450	-8.72
451	-8.69
452	-8.82
453	-8.7
454	-8.67
455	-8.73
456	-8.71
457	-8.8
458	-8.63
459	-8.78
460	-8.74
461	-8.64
462	-8.6
463	-8.7
464	-8.62
465	-8.62
466	-8.66
467	-8.63
468	-8.68
469	-8.77
470	-8.67
471	-8.79
472	-8.77
473	-8.78
474	-8.66
475	-8.61
476	-8.74
477	-8.64
478	-8.73
479	-8.7
480	-8.78
481	-8.69
482	-8.74
483	-8.75
484	-8.75
485	-8.65
486	-8.6
