E	V
1	-8.066260283441133
2	-7.990956555145402
3	-8.059687576256714
4	-7.898110520360345
5	-8.01176275161497
6	-7.976386274645607
7	-7.939714343999538
8	-8.037128933576989
9	-8.201867361898694
10	-8.118668144865085
11	-8.135534432151903
12	-7.999375304878122
13	-8.183558599703103
14	-8.105103314606536
15	-8.00159604882017
16	-8.275351341686763
17	-8.02417879327307
18	-8.09293472328626
19	-7.951787997811554
20	-7.99873352391667
21	-8.059687576256714
22	-8.00353861898849
23	-7.960645497311919
24	-8.02743132213674
25	-8.078526370151582
26	-7.92524440581519
27	-8.01176275161497
28	-7.930362414017333
29	-8.19667543865724
30	-8.052667026637975
31	-7.845326153028446
32	-8.172421553266853
33	-7.911714341758676
34	-8.024946810517108
35	-8.023708047683302
36	-8.168791500380106
37	-8.221788570521884
38	-7.944704793029256
39	-8.052686388902417
40	-8.154220486113518
41	-7.856397899394978
42	-7.939714343999538
43	-7.884586453971452
44	-8.055470090966555
45	-8.086280819289806
46	-8.260508693872419
47	-8.198526370151582
48	-8.172421553266853
49	-8.04224255900814
50	-8.127505020100564
51	-8.00353861898849
52	-8.13618716010885
53	-8.031289137785022
54	-7.959315389514737
55	-8.249732206886742
56	-7.946787888807065
57	-8.138439402706181
58	-8.088791500380108
59	-8.075500200160159
60	-8.107431322136739
61	-8.055470090966555
62	-7.904379705507274
63	-8.065449785832586
64	-8.19667543865724
65	-8.094868434067363
66	-8.183558599703103
67	-7.999375304878122
68	-8.168791500380106
69	-8.015180025927469
70	-7.979206848483593
71	-8.044256147569799
72	-8.086280819289806
73	-7.87162509150806
74	-8.018486583658351
75	-8.031289137785022
76	-8.068864612957377
77	-8.0961651584689
78	-8.127505020100564
79	-8.129754147904306
80	-8.15289718255214
81	-7.92524440581519
82	-7.845362159420308
83	-8.124167204301298
84	-7.960555770055802
85	-8.10717967697245
86	-8.110076927629123
87	-7.911714341758676
88	-8.168791500380106
89	-8.108864612957376
90	-8.098966438146642
91	-7.799459656737054
92	-8.243782217350892
93	-8.070692676770083
94	-8.04
95	-8.12564993891385
96	-8.081045591987017
97	-8.012934723286262
98	-8.172421553266853
99	-7.973131811279088
100	-8.068864612957377
101	-8.008540101003906
102	-8.111642733259815
103	-7.913690011238152
104	-7.923708047683302
105	-7.9209339147979
106	-7.99873352391667
107	-7.978530998503967
108	-8.059687576256714
109	-7.978530998503967
110	-7.944704793029256
111	-8.018486583658351
112	-8.232159191472254
113	-8.046649395741326
114	-8.095105051290565
115	-7.92778920543757
116	-7.933525334361218
117	-7.984065220281037
118	-8.065195685472004
119	-7.948259869737371
120	-8.154220486113518
121	-8.0841672043013
122	-8.056344469088536
123	-8.024075476176614
124	-8.00159604882017
125	-8.150970852652891
126	-8.049444689182621
127	-8.01090334446613
128	-8.026025937084102
129	-8.00353861898849
130	-7.966260283441133
131	-8.049444689182621
132	-7.838422689413608
133	-8.122242559008138
134	-7.988913898273159
135	-7.923708047683303
136	-8.044256147569799
137	-8.107988095343542
138	-7.9621158286838165
139	-8.111642733259815
140	-8.232159191472254
141	-7.996763832957519
142	-8.127505020100564
143	-7.883514514162206
144	-8.039275742426836
145	-7.99873352391667
146	-7.958380151290432
147	-8.065449785832586
148	-8.067393131167991
149	-7.951787997811553
150	-7.951787997811553
151	-7.866260283441133
152	-8.123037291773725
153	-7.919999999999999
154	-8.088791500380108
155	-8.04224255900814
156	-8.040588489941479
157	-7.948259869737372
158	-8.174850446466888
159	-7.9961651584689
160	-8.0961651584689
161	-8.043782217350893
162	-7.9952642844278525
163	-8.085962329982047
164	-8.07314396995515
165	-8.050890954657673
166	-7.930362414017333
167	-8.107988095343542
168	-7.983558599703102
169	-7.999999999999998
170	-7.93158386622292
171	-8.123037291773725
172	-8.057389856039611
173	-8.077723842887021
174	-8.108864612957376
175	-7.9763862746456065
176	-8.138439402706181
177	-8.127505020100564
178	-8.04224255900814
179	-7.9209339147979
180	-7.977007462732747
181	-8.03667543865724
182	-8.027505020100564
183	-8.043782217350893
184	-8.070692676770083
185	-8.183558599703103
186	-8.0961651584689
187	-8.143782217350893
188	-8.139841289832473
189	-8.181564412019505
190	-8.093908290244585
191	-7.987271441431144
192	-8.01690481051547
193	-8.024946810517108
194	-8.111642733259815
