E	V
1	-9.433739716558867
2	-9.349043444854598
3	-9.340312423743285
4	-9.381889479639657
5	-9.428237248385031
6	-9.363613725354393
7	-9.340285656000464
8	-9.50287106642301
9	-9.378132638101304
10	-9.321331855134916
11	-9.304465567848098
12	-9.28062469512188
13	-9.416441400296899
14	-9.314896685393466
15	-9.378403951179829
16	-9.484648658313239
17	-9.455821206726931
18	-9.487065276713738
19	-9.348212002188447
20	-9.421266476083332
21	-9.340312423743285
22	-9.35646138101151
23	-9.199354502688081
24	-9.392568677863261
25	-9.301473629848417
26	-9.254755594184811
27	-9.428237248385031
28	-9.309637585982665
29	-9.46332456134276
30	-9.287332973362025
31	-9.454673846971554
32	-9.367578446733146
33	-9.368285658241325
34	-9.435053189482893
35	-9.476291952316698
36	-9.411208499619892
37	-9.338211429478115
38	-9.215295206970744
39	-9.427313611097583
40	-9.40577951388648
41	-9.303602100605023
42	-9.340285656000464
43	-9.275413546028549
44	-9.384529909033446
45	-9.353719180710195
46	-9.43949130612758
47	-9.42147362984842
48	-9.367578446733146
49	-9.377757440991862
50	-9.372494979899436
51	-9.35646138101151
52	-9.50381283989115
53	-9.348710862214977
54	-9.420684610485262
55	-9.370267793113259
56	-9.413212111192935
57	-9.421560597293817
58	-9.331208499619894
59	-9.32449979983984
60	-9.47256867786326
61	-9.384529909033446
62	-9.315620294492724
63	-9.454550214167414
64	-9.46332456134276
65	-9.425131565932636
66	-9.416441400296899
67	-9.280624695121878
68	-9.411208499619892
69	-9.264819974072532
70	-9.240793151516405
71	-9.3557438524302
72	-9.353719180710195
73	-9.408374908491941
74	-9.341513416341648
75	-9.348710862214977
76	-9.391135387042624
77	-9.4038348415311
78	-9.372494979899436
79	-9.350245852095695
80	-9.427102817447858
81	-9.254755594184811
82	-9.294637840579693
83	-9.415832795698702
84	-9.399444229944198
85	-9.492820323027551
86	-9.409923072370876
87	-9.368285658241325
88	-9.411208499619892
89	-9.431135387042623
90	-9.261033561853358
91	-9.280540343262945
92	-9.456217782649107
93	-9.369307323229918
94	-9.280000000000001
95	-9.394350061086149
96	-9.418954408012983
97	-9.40706527671374
98	-9.367578446733146
99	-9.40686818872091
100	-9.391135387042624
101	-9.311459898996095
102	-9.388357266740185
103	-9.346309988761849
104	-9.376291952316699
105	-9.4190660852021
106	-9.421266476083332
107	-9.341469001496034
108	-9.340312423743285
