E	V
1	-4.151337323889227
2	-4.363576315890858
3	-4.774170584182979
4	-4.438241007308003
5	-4.629613440574275
6	-4.862405236818306
7	-4.798405164105358
8	-4.546431170722941
9	-5.027643256050956
10	-4.620526382076099
11	-4.413140663152606
12	-4.889235408745057
13	-4.753850552099898
14	-4.782615579902906
15	-4.549160293966061
16	-4.443064463272169
17	-4.499056771637688
18	-4.61271295386898
19	-4.7662032034808455
20	-4.68929100048733
21	-4.627735740178069
22	-4.6279073941055735
23	-4.722608247145301
24	-4.406974444138334
25	-4.792918534614978
26	-4.572867829381875
27	-4.78247476463979
28	-4.876911259163626
29	-4.628104914864099
30	-4.569048676309098
31	-4.647154282087541
32	-4.5952113494162
33	-4.616974044687301
34	-4.363335205993101
35	-4.709668165954387
36	-4.699761916008727
37	-4.605377063150027
38	-4.910020080402254
39	-4.774059330077398
40	-4.660962536919943
41	-4.695472004259445
42	-4.710127555170999
43	-4.697917570107137
44	-4.7159226084494525
45	-4.590833474528412
46	-4.509275190585257
47	-4.764642892864288
48	-4.728917553482374
49	-4.857574243760518
50	-4.730982743621184
51	-4.468950843771356
52	-4.5649837310769374
53	-4.1688706740025925
54	-4.685607862029134
55	-4.431839542131248
56	-4.394021121712695
57	-4.253229557844003
58	-3.9957332671932444
59	-4.68911187532118
60	-4.7498223430360405
61	-4.921539030917347
62	-4.259761916008728
63	-4.735573753514338
64	-4.770103736672467
65	-4.4238166455048535
66	-4.359962547079162
67	-4.6868873530291
68	-4.865473323838632
69	-4.676461593832864
70	-4.771578379360945
71	-4.667024739131191
72	-4.464246870093282
73	-4.6005821002223986
74	-4.7775014450871875
75	-4.443013872173791
76	-4.639955157401538
77	-3.980511990125238
78	-4.224985265268588
79	-4.84330637270936
80	-4.5630899904487086
81	-4.76393202250021
82	-4.625865685309499
83	-4.710469966328638
84	-4.619448878687933
85	-4.614347224228494
86	-4.326764486194846
87	-4.747958724602171
88	-4.609464342644604
89	-4.506564669392718
90	-4.7278221887297995
91	-4.71574142120765
92	-4.365129403052826
93	-4.6259151136207315
94	-4.744524150947546
95	-4.30120593160834
96	-4.673906172612759
97	-4.652404958427892
98	-4.5594643497591925
99	-4.749861663861046
100	-4.639950739513939
101	-4.823118540766631
102	-4.661724870733757
103	-4.718786918737688
104	-4.3830722453270505
105	-4.616881944454077
106	-4.651244495015924
107	-4.525954947444729
108	-4.126889493022821
109	-4.724711322686632
110	-4.446357225061604
111	-4.695951002672743
112	-4.882512857180641
113	-4.585900154338635
114	-4.547752194896895
115	-4.78034149185773
116	-4.565545427136259
117	-4.372257237386391
118	-4.818133502865468
119	-4.177024590279199
120	-4.681189739092314
121	-4.476971434130913
122	-4.620678837289607
123	-3.9828314492303054
124	-4.604550159989985
125	-4.433390383644918
126	-4.483365337499222
127	-4.892454678843043
128	-4.830953484266974
129	-4.6745479747988625
130	-4.930944104932174
131	-4.747501515152072
132	-4.618815498351696
133	-4.598111420905759
134	-4.4908334745284115
135	-4.570097658112719
136	-4.378148853239573
137	-4.695120892575439
138	-4.57962658494581
139	-4.495102741791757
140	-4.525268375145991
141	-4.698068011046496
142	-4.506007217332015
143	-4.73224466635193
144	-4.804003205130263
145	-4.530182192954307
146	-4.480262185157503
147	-4.862467733118102
148	-4.53898172150257
149	-4.5441249130659145
150	-4.916602885097416
151	-4.815986348162623
152	-4.400421489971992
153	-4.811301067276317
154	-4.733253494445316
155	-4.10316453902672
156	-4.842668644907121
157	-4.616724942437403
158	-4.592105089875705
159	-4.590661491420873
160	-4.959114089628098
161	-4.320247360633798
162	-4.601705990388217
163	-4.660534405646832
164	-4.716207017696888
165	-4.608783513238947
166	-4.50238982008908
167	-4.539098886696393
168	-4.377984689813538
169	-4.436669234721605
170	-4.5905841918878885
171	-4.650388162253409
172	-4.706404599060502
173	-4.731783143426036
174	-4.317613442155423
175	-4.847535961172198
176	-4.886164285278295
177	-4.7409847071627444
178	-4.402223080223208
179	-4.757085545324493
180	-4.736353861215175
181	-4.4323961086252694
182	-4.800852180765036
183	-4.437797637796456
184	-4.554414530096743
185	-4.448636765889013
186	-4.548816501884767
187	-4.715813696461266
188	-4.339645412363899
189	-4.785762548813402
190	-4.583390805281086
191	-4.740162169269967
192	-4.532423527441168
193	-4.766894987880712
194	-4.466649260285612
195	-4.3494643426446045
196	-4.478833616760387
197	-4.631817000304103
198	-3.9965549263706985
199	-4.51028636167467
200	-4.953127445228414
201	-4.468699943250465
202	-4.799610422461182
203	-4.458099919484702
204	-4.773940735290548
205	-4.513113668440162
206	-4.525506316567111
207	-4.733876767447381
208	-4.768214884706129
209	-4.662583726676889
210	-4.20350039801878
211	-5.003335806133903
212	-4.6780539352141925
