E	V
1	-9.608662676110772
2	-9.896423684109141
3	-9.205829415817021
4	-9.101758992691996
5	-8.510386559425726
6	-9.017594763181695
7	-9.941594835894643
8	-9.45356882927706
9	-8.212356743949044
10	-8.799473617923901
11	-9.026859336847394
12	-9.990764591254944
13	-9.866149447900101
14	-8.297384420097094
15	-9.67083970603394
16	-9.856935536727832
17	-9.800943228362312
18	-9.80728704613102
19	-9.273796796519154
20	-10.19070899951267
21	-9.53226425982193
22	-9.552092605894426
23	-8.9373917528547
24	-9.533025555861666
25	-9.347081465385022
26	-9.347132170618124
27	-8.497525235360209
28	-9.283088740836373
29	-9.431895085135903
30	-9.930951323690902
31	-9.112845717912458
32	-9.4447886505838
33	-8.123025955312698
34	-10.2966647940069
35	-9.230331834045613
36	-9.740238083991272
37	-8.914622936849973
38	-9.889979919597746
39	-9.425940669922602
40	-9.439037463080057
41	-10.044527995740555
42	-8.629872444829001
43	-9.502082429892862
44	-8.644077391550546
45	-9.509166525471588
46	-9.890724809414744
47	-8.335357107135712
48	-9.811082446517625
49	-8.982425756239483
50	-9.309017256378816
51	-9.331049156228644
52	-9.175016268923063
53	-10.811129325997408
54	-8.674392137970866
55	-9.26816045786875
56	-9.885978878287304
57	-9.606770442155996
58	-10.984266732806756
59	-8.63088812467882
60	-8.690177656963959
61	-9.078460969082652
62	-9.300238083991273
63	-9.484426246485663
64	-9.589896263327532
65	-9.136183354495147
66	-9.700037452920839
67	-8.5131126469709
68	-9.354526676161369
69	-8.523538406167136
70	-9.648421620639056
71	-9.072975260868809
72	-9.875753129906718
73	-8.379417899777602
74	-9.102498554912813
75	-9.41698612782621
76	-9.100044842598463
77	-9.839488009874762
78	-9.315014734731411
79	-9.37669362729064
80	-9.996910009551293
81	-9.23606797749979
82	-10.3141343146905
83	-10.029530033671362
84	-9.700551121312067
85	-9.325652775771506
86	-10.233235513805155
87	-9.012041275397829
88	-9.650535657355395
89	-9.953435330607283
90	-9.0921778112702
91	-9.60425857879235
92	-9.194870596947174
93	-8.914084886379268
94	-8.895475849052454
95	-9.93879406839166
96	-9.406093827387242
97	-9.847595041572108
98	-9.040535650240807
99	-9.810138336138955
100	-8.700049260486061
101	-9.116881459233369
102	-8.718275129266244
103	-9.501213081262312
104	-8.93692775467295
105	-9.623118055545923
106	-8.908755504984075
107	-9.05404505255527
108	-9.11311050697718
109	-8.795288677313367
110	-9.473642774938396
111	-10.084048997327256
112	-9.25748714281936
113	-9.834099845661365
114	-9.132247805103106
115	-8.87965850814227
116	-10.29445457286374
117	-9.907742762613609
118	-9.641866497134533
119	-9.4229754097208
120	-9.218810260907686
121	-9.763028565869087
122	-9.039321162710394
123	-10.337168550769695
124	-8.995449840010014
125	-9.886609616355083
126	-8.996634662500778
127	-9.167545321156958
128	-9.969046515733027
129	-9.265452025201137
130	-8.849055895067826
131	-8.872498484847927
132	-8.841184501648305
133	-8.94188857909424
134	-9.409166525471589
135	-9.689902341887281
136	-9.241851146760427
137	-9.864879107424562
138	-9.40037341505419
139	-9.604897258208243
140	-9.834731624854008
141	-9.461931988953504
142	-9.493992782667984
143	-9.40775533364807
144	-9.795996794869737
145	-9.469817807045693
146	-9.819737814842497
147	-9.317532266881898
148	-8.86101827849743
149	-10.115875086934086
150	-8.923397114902585
151	-9.504013651837377
152	-9.619578510028008
153	-8.268698932723684
154	-9.186746505554684
155	-10.356835460973281
156	-8.437331355092878
157	-9.383275057562596
158	-9.387894910124295
159	-8.369338508579128
160	-9.700885910371902
161	-9.979752639366204
162	-9.758294009611783
163	-9.899465594353169
164	-9.623792982303112
165	-9.131216486761053
166	-9.43761017991092
167	-9.200901113303608
168	-9.342015310186461
169	-8.763330765278393
170	-8.869415808112112
171	-9.02961183774659
172	-10.133595400939498
173	-9.048216856573964
174	-10.102386557844577
175	-9.1924640388278
176	-8.513835714721704
177	-8.599015292837255
178	-10.157776919776794
179	-8.602914454675506
180	-8.963646138784824
181	-10.14760389137473
182	-9.259147819234965
183	-9.162202362203544
184	-9.465585469903257
185	-9.071363234110986
186	-10.211183498115233
187	-8.924186303538734
188	-9.980354587636102
189	-9.014237451186599
190	-9.416609194718914
191	-8.439837830730033
192	-9.027576472558833
193	-9.633105012119287
194	-9.573350739714387
195	-9.390535657355397
196	-9.281166383239613
197	-9.528182999695897
198	-9.8634450736293
199	-9.049713638325331
200	-8.946872554771586
201	-9.931300056749535
202	-9.420389577538819
203	-9.301900080515297
204	-9.566059264709452
205	-9.166886331559837
206	-9.31449368343289
207	-8.98612323255262
208	-10.09178511529387
209	-8.917416273323111
210	-9.85649960198122
211	-9.496664193866097
212	-9.201946064785808
213	-10.140184495564831
214	-9.563736998950983
215	-9.220218330203476
216	-9.787971060924946
