E	A
1	-7.15
2	-6.84
3	-7.15
4	-6.6
5	-6.7
6	-6.85
7	-6.65
8	-7.13
9	-7.11
10	-6.95
11	-7.6
12	-6.97
13	-7.04
14	-6.66
15	-7.22
16	-6.88
17	-7.56
18	-6.87
19	-7.26
20	-7.07
21	-7.08
22	-6.96
23	-6.89
24	-7.13
25	-6.89
26	-7.0
27	-6.65
28	-6.97
29	-7.02
30	-6.97
31	-7.11
32	-6.67
33	-7.26
34	-6.8
35	-6.92
36	-6.71
37	-7.17
38	-7.07
39	-7.22
40	-6.93
41	-7.21
42	-7.21
43	-7.14
44	-6.82
45	-7.13
46	-6.89
47	-7.03
48	-6.61
49	-7.21
50	-6.87
51	-6.72
52	-6.82
53	-6.84
54	-6.83
55	-7.07
56	-7.05
57	-7.0
58	-6.89
59	-7.15
60	-7.13
61	-7.14
62	-7.29
63	-7.15
64	-6.88
65	-6.75
66	-6.78
67	-6.96
68	-7.3
69	-6.85
70	-7.57
71	-6.66
72	-7.08
73	-6.75
74	-6.77
75	-6.91
76	-7.07
77	-6.96
78	-7.03
79	-7.0
80	-6.75
81	-7.4
82	-6.6
83	-6.46
84	-6.89
85	-6.91
86	-6.96
87	-7.01
88	-7.01
89	-7.45
90	-6.64
91	-7.0
92	-6.86
93	-6.85
94	-7.35
95	-6.57
96	-7.06
97	-6.78
98	-6.81
99	-6.51
100	-7.03
101	-6.99
102	-6.88
103	-6.99
104	-6.73
105	-6.92
106	-6.78
107	-6.94
108	-7.16
109	-6.97
110	-6.71
111	-6.97
112	-6.99
113	-7.16
114	-7.37
115	-7.02
116	-7.45
117	-7.23
118	-6.86
119	-7.12
120	-6.96
121	-6.95
122	-6.49
123	-6.96
124	-6.7
125	-6.99
126	-6.78
127	-7.1
128	-7.17
129	-7.03
130	-6.69
131	-7.33
132	-7.54
133	-7.3
134	-6.89
135	-6.96
136	-6.98
137	-7.26
138	-7.2
139	-6.38
140	-6.91
141	-6.86
142	-7.03
143	-6.71
144	-6.73
145	-7.05
146	-7.01
147	-7.1
148	-6.91
149	-6.85
150	-6.95
151	-6.71
152	-7.27
153	-7.22
154	-6.44
155	-6.92
156	-6.45
157	-7.15
158	-7.27
159	-6.95
160	-6.71
161	-6.84
162	-7.02
163	-7.0
164	-6.76
165	-7.27
166	-6.98
167	-7.06
168	-6.93
169	-6.96
170	-6.85
171	-7.3
172	-7.59
173	-6.8
174	-7.41
175	-7.17
176	-6.83
177	-6.88
178	-6.42
179	-7.4
180	-7.71
181	-6.96
182	-7.08
183	-6.84
184	-7.02
185	-7.18
186	-7.44
187	-6.91
188	-6.86
189	-6.8
190	-7.32
191	-7.4
192	-6.78
193	-7.3
194	-7.14
195	-6.7
196	-6.95
197	-6.95
198	-7.09
199	-6.77
200	-6.87
201	-6.74
202	-6.52
203	-6.81
204	-7.14
205	-7.16
206	-7.21
207	-6.99
208	-7.07
209	-6.85
210	-6.33
211	-6.95
212	-7.16
213	-7.12
214	-7.03
215	-6.86
216	-6.87
217	-6.74
218	-6.97
219	-7.13
220	-6.95
221	-7.51
222	-6.83
223	-6.97
224	-6.85
225	-7.05
226	-6.96
227	-6.62
228	-7.06
229	-7.13
230	-7.14
231	-7.08
232	-6.78
233	-6.82
234	-7.49
235	-7.08
236	-7.15
237	-7.03
238	-6.99
239	-6.89
240	-6.53
241	-7.06
242	-7.21
243	-7.08
244	-7.12
245	-6.52
246	-6.65
247	-7.15
248	-6.77
249	-6.87
250	-6.85
251	-6.82
252	-7.42
253	-7.23
254	-7.1
255	-6.7
256	-6.56
257	-7.25
258	-6.92
259	-7.28
260	-7.24
261	-6.91
262	-7.08
263	-6.86
264	-6.77
265	-6.9
266	-7.06
267	-6.88
268	-7.2
269	-7.44
270	-7.31
271	-6.81
272	-7.17
273	-6.77
274	-7.14
275	-7.07
276	-7.03
277	-6.95
278	-7.11
279	-6.86
280	-7.09
281	-7.21
282	-6.97
283	-7.46
284	-7.0
285	-6.86
286	-7.45
287	-7.03
288	-6.63
289	-6.96
290	-6.85
291	-7.01
292	-7.06
293	-7.03
294	-6.69
295	-6.98
296	-7.55
297	-6.62
298	-6.81
299	-7.04
300	-6.65
301	-7.17
302	-6.98
303	-7.28
304	-6.99
305	-6.54
306	-7.09
307	-6.5
308	-7.09
309	-7.09
310	-7.27
311	-7.13
312	-6.98
313	-6.76
314	-6.87
315	-7.14
316	-7.14
317	-6.53
318	-7.09
319	-6.79
320	-7.08
321	-6.86
322	-7.06
323	-6.84
324	-6.88
325	-7.35
326	-6.98
327	-6.91
328	-6.86
329	-6.71
330	-7.41
331	-6.97
332	-7.45
333	-6.99
334	-7.04
335	-6.72
336	-6.77
337	-7.26
338	-7.23
339	-7.18
340	-6.78
341	-6.86
342	-7.13
343	-6.69
344	-6.8
345	-6.91
346	-7.25
347	-7.53
348	-6.73
349	-6.66
350	-7.09
351	-6.81
352	-7.62
353	-7.15
354	-6.77
355	-6.98
356	-6.91
357	-7.17
358	-6.92
359	-6.78
360	-6.92
361	-7.23
362	-6.76
363	-7.3
364	-6.81
365	-7.04
366	-6.9
367	-7.04
368	-7.12
369	-7.02
370	-7.3
371	-6.9
372	-6.98
373	-6.8
374	-6.86
375	-7.26
376	-6.86
377	-7.24
378	-7.47
379	-7.12
380	-6.84
381	-7.14
382	-6.72
383	-7.2
384	-7.14
385	-7.11
386	-7.03
387	-6.56
388	-6.95
389	-7.09
390	-6.92
391	-6.97
392	-6.8
393	-6.95
394	-6.72
395	-6.94
396	-6.83
