E	A
1	-26.935999999999957
2	-9.39
3	-9.24
4	-9.39
5	-9.21
6	-9.19
7	-9.34
8	-9.38
9	-9.19
10	-9.25
11	-9.33
12	-9.12
13	-9.22
14	-9.37
15	-9.24
16	-9.07
17	-9.17
18	-9.27
19	-9.36
20	-9.25
21	-9.22
22	-9.26
23	-9.23
24	-9.08
25	-9.03
26	-9.33
27	-9.33
28	-9.54
29	-9.28
30	-9.25
31	-9.33
32	-9.31
33	-9.2
34	-9.4
35	-9.41
36	-9.32
37	-9.26
38	-9.15
39	-9.4
40	-9.24
41	-9.41
42	-9.21
43	-9.45
44	-9.17
45	-9.16
46	-9.37
47	-9.29
48	-9.35
49	-9.34
50	-9.43
51	-9.28
52	-9.21
53	-9.28
54	-9.35
55	-9.2
56	-9.42
57	-9.31
58	-9.51
59	-9.49
60	-9.35
61	-9.32
62	-9.13
63	-9.44
64	-9.3
65	-9.38
66	-9.25
67	-9.29
68	-9.32
69	-9.36
70	-9.23
71	-9.08
72	-9.25
73	-9.22
74	-9.47
75	-9.32
76	-9.17
77	-9.16
78	-9.11
79	-9.24
80	-9.3
81	-9.22
82	-9.17
83	-9.27
84	-9.26
85	-9.33
86	-9.41
87	-9.28
88	-9.28
89	-9.14
90	-9.5
91	-9.16
92	-9.38
93	-9.32
94	-9.45
95	-9.25
96	-9.27
97	-9.34
98	-9.45
99	-9.27
100	-9.39
101	-9.29
102	-9.25
103	-9.37
104	-9.37
105	-9.41
106	-9.4
107	-9.35
108	-9.19
109	-9.13
110	-9.22
111	-9.38
112	-9.32
113	-9.42
114	-9.2
115	-9.31
116	-9.3
117	-9.19
118	-9.42
119	-9.38
120	-9.27
121	-9.3
122	-9.3
123	-9.23
124	-9.36
125	-9.12
126	-9.27
127	-9.03
128	-9.4
129	-9.23
130	-9.31
131	-9.24
132	-9.18
133	-9.33
134	-9.34
135	-9.33
136	-9.35
137	-9.25
138	-9.51
139	-9.3
140	-9.16
141	-9.54
142	-9.17
143	-9.19
144	-9.35
145	-9.17
146	-9.22
147	-9.32
148	-9.37
149	-9.24
150	-9.4
151	-9.39
152	-9.29
153	-9.08
154	-9.4
155	-9.41
156	-9.47
157	-9.33
158	-9.63
159	-9.44
160	-9.45
161	-9.18
162	-9.3
163	-9.25
164	-9.28
165	-9.12
166	-9.19
167	-9.19
168	-9.17
169	-9.22
170	-9.48
171	-9.36
172	-9.41
173	-9.25
174	-9.47
175	-9.33
176	-9.16
177	-9.35
178	-9.17
179	-9.23
180	-9.53
181	-9.34
182	-9.35
183	-9.21
184	-9.5
185	-9.16
186	-9.31
187	-9.26
188	-9.28
189	-9.28
190	-9.36
191	-9.45
192	-9.4
193	-9.07
194	-9.26
195	-9.45
196	-9.32
197	-9.45
198	-9.28
199	-9.22
200	-9.26
201	-9.33
202	-9.33
203	-9.28
204	-9.22
205	-9.15
206	-9.25
207	-9.2
208	-9.31
209	-9.25
210	-9.2
211	-9.21
212	-9.26
213	-9.08
214	-9.4
215	-9.42
