E	V
1	-26.36969266294701
2	-7.514393431446777
3	-7.4117768188757704
4	-7.72930737341313
5	-7.470488574340485
6	-7.44245887029804
7	-7.49489837678246
8	-7.499680878148606
9	-7.500651012963869
10	-7.459050531142768
11	-7.5076114574548045
12	-7.3520633495512335
13	-7.456027211094231
14	-7.538852818586118
15	-7.484323492211621
16	-7.4131656691147425
17	-7.4376316788858094
18	-7.515833531274753
19	-7.535061644876736
20	-7.442377251747478
21	-7.4961670614586815
22	-7.6252523130464445
23	-7.487272253046967
24	-7.420602518984677
25	-7.318538636135772
26	-7.5633364779902195
27	-7.650386949324339
28	-7.629921467583072
29	-7.507544076711637
30	-7.533171528661061
31	-7.62087741808845
32	-7.511695242735537
33	-7.445007122521575
34	-7.561522368914976
35	-7.631826780091434
36	-7.460537712132887
37	-7.4901412485737735
38	-7.474440391988397
39	-7.6393183138340985
40	-7.342001053741073
41	-7.506870997541155
42	-7.5895371031708265
43	-7.675880500078982
44	-7.397685129555136
45	-7.372711550980089
46	-7.6169740446873
47	-7.527643622873057
48	-7.542377251747477
49	-7.52770863269727
50	-7.568522092529701
51	-7.541724992988739
52	-7.3429434930886535
53	-7.446533338181466
54	-7.504058505802526
55	-7.427995485333064
56	-7.6639817768599325
57	-7.5006078368689675
58	-7.599528853921106
59	-7.6434085454546254
60	-7.5203825536468
61	-7.487624492632584
62	-7.501166061257319
63	-7.621649098771086
64	-7.348077870405687
65	-7.649219829094406
66	-7.487189743619581
67	-7.505091038736148
68	-7.455167567849594
69	-7.546054025060282
70	-7.481543537859751
71	-7.332544707295777
72	-7.420382553646801
73	-7.5313318857750655
74	-7.575507983653666
75	-7.588642151373669
76	-7.420400045724738
77	-7.372711550980089
78	-7.401813827476641
79	-7.4117768188757704
80	-7.342961420921908
81	-7.433495032192747
82	-7.551018838898983
83	-7.498813956694553
84	-7.3752188455950645
85	-7.464229381729897
86	-7.626211895992128
87	-7.530257161752047
88	-7.507544076711637
89	-7.436943923412973
90	-7.719550618523515
91	-7.400909325816318
92	-7.483793260216599
93	-7.543036297500707
94	-7.631346652052679
95	-7.5684828279199765
96	-7.465256250876596
97	-7.343903809932999
98	-7.631346652052678
99	-7.585630681827764
100	-7.675969661878765
101	-7.62089844527063
102	-7.487189743619581
103	-7.5999435037265055
104	-7.674977876250577
105	-7.626211895992128
106	-7.611145618000168
107	-7.627356682304777
108	-7.3806078368689665
109	-7.429088479667446
110	-7.5195294768800025
111	-7.609237452395156
112	-7.515117732371444
113	-7.613456338750707
114	-7.43364782673443
115	-7.551051450439781
116	-7.4916858679974885
117	-7.459711006796841
118	-7.658296279166102
119	-7.478526886858509
120	-7.48195637637109
121	-7.486164285278296
122	-7.513942890050825
123	-7.498786552732449
124	-7.636515158175157
125	-7.4271916824400925
126	-7.487557855076355
127	-7.359940120833985
128	-7.611145618000168
129	-7.386877649205024
130	-7.403720901861431
131	-7.428260504377079
132	-7.394614887482255
133	-7.496669696972201
134	-7.538778192448248
135	-7.574693758912707
136	-7.58718974361958
137	-7.4094837680694035
138	-7.573534146957401
139	-7.453381468738062
140	-7.4943469749074385
141	-7.656280275624847
142	-7.472619665484486
143	-7.47130863736388
144	-7.525856365304529
145	-7.460877418088451
146	-7.543217366502146
147	-7.531816564219432
148	-7.506374501140317
149	-7.507256510616762
150	-7.588922972372516
151	-7.612951885851147
152	-7.428307221907975
153	-7.37307293653185
154	-7.550675799109307
155	-7.549381823156616
156	-7.52858299173001
157	-7.524148400338499
158	-7.843075267393728
159	-7.594356480790506
160	-7.614925069649742
161	-7.498453093131208
162	-7.542160416875306
163	-7.414925069649743
164	-7.553268984468049
165	-7.33517507861415
166	-7.5006510129638695
167	-7.4197175366625805
168	-7.3641484003385
169	-7.3460736407211735
170	-7.638913364341592
171	-7.546054025060282
172	-7.58191356878292
173	-7.475880500078983
174	-7.661934735691215
175	-7.485792853283558
176	-7.400909325816318
177	-7.58718974361958
178	-7.293540567984483
179	-7.569548254239228
180	-7.6145105064240095
181	-7.500326115856399
182	-7.482515060301689
183	-7.482024305726496
184	-7.637206398980284
185	-7.423797246863144
186	-7.62658086027276
187	-7.524373312028189
188	-7.518864002979894
189	-7.530257161752047
190	-7.59636738519611
191	-7.642377251747478
192	-7.679534946591474
193	-7.4192123092293185
194	-7.607002722325291
195	-7.6368535635531245
196	-7.487624492632584
197	-7.47326025992292
198	-7.541724992988739
199	-7.47311706173539
200	-7.518621235916781
201	-7.529694470374542
202	-7.569005962531389
203	-7.541724992988739
204	-7.383808288876132
205	-7.415785480397538
206	-7.539006136773133
207	-7.4564404225837295
208	-7.556745882651349
209	-7.533171528661061
210	-7.479534946591473
211	-7.459028840899999
212	-7.600964135408761
213	-7.315460399990977
214	-7.545276300900859
215	-7.575115179746985
216	-7.588373563696759
217	-7.515785480397538
218	-7.492871660919442
219	-7.484323492211621
220	-7.533171528661061
221	-7.565064842710253
222	-7.4158556318583235
223	-7.551051450439781
224	-7.485357180051774
225	-7.374440391988397
226	-7.4432966670699905
227	-7.664642892864286
228	-7.453176992494752
229	-7.35994652482877
230	-7.44341377278747
231	-7.508352713283109
232	-7.541745071300536
233	-7.392051744285004
234	-7.458804736047804
235	-7.507808421934041
236	-7.54991620307875
237	-7.599943503726505
238	-7.3751923190728075
239	-7.5834097875415045
240	-7.4806594601339755
241	-7.549297003698907
242	-7.491685867997488
243	-7.534917912459213
244	-7.624949568456293
245	-7.431868819680172
246	-7.516706277090825
247	-7.654465893239326
248	-7.671836002900706
249	-7.512888097459124
250	-7.578069240861039
251	-7.405723284611745
252	-7.55663057781239
253	-7.504070485949414
254	-7.576591652010593
255	-7.548137121395472
256	-7.428260504377079
257	-7.628420257352538
258	-7.4112435210896965
259	-7.614453937902713
260	-7.674271261869008
261	-7.412315818003722
262	-7.538778192448248
263	-7.513618742383704
264	-7.384893165644895
265	-7.4519956236376235
266	-7.239006136773132
267	-7.4655000724847795
268	-7.53339988021344
269	-7.599782621536248
270	-7.4655000724847795
271	-7.470252826944232
272	-7.330132279761358
273	-7.598398498565428
274	-7.565575970661844
275	-7.592886905005636
276	-7.5853299439480955
277	-7.436853563553125
278	-7.73212832313795
279	-7.536480791145161
280	-7.535257678662477
281	-7.445502824471749
282	-7.549191812325545
283	-7.30503462637091
284	-7.535257678662477
285	-7.490345776479087
286	-7.631346652052678
287	-7.515833531274753
288	-7.516331485310741
289	-7.616751702893892
290	-7.450658008677741
291	-7.44489554621465
292	-7.3910792538918315
293	-7.525176065070116
294	-7.573987885502964
295	-7.59070635563228
296	-7.5230204506278096
297	-7.444725373357689
298	-7.586094482199281
299	-7.445756649140611
300	-7.405852317308392
301	-7.546436151969882
302	-7.507173710831561
303	-7.4756008684865485
304	-7.566364781891859
305	-7.419467539501237
306	-7.668482827919975
307	-7.362148655435638
308	-7.476246845713035
309	-7.490386949324339
310	-7.467949192431122
311	-7.310583427885582
312	-7.622687778329242
313	-7.35387063424694
314	-7.577487796415321
315	-7.380531990163173
316	-7.5228514331483245
317	-7.6012770294692205
318	-7.454651371377424
319	-7.5853299439480955
320	-7.50191113832857
321	-7.433686448899324
322	-7.396325718489833
323	-7.617313767699993
324	-7.610555637230881
325	-7.426125004479966
326	-7.57140056044845
327	-7.655689101013177
328	-7.658555516339032
329	-7.333171528661062
330	-7.57558167321563
331	-7.620568273561036
332	-7.5203825536468
333	-7.412549213361245
334	-7.5633364779902195
335	-7.407326256460679
336	-7.517264659800561
337	-7.515833531274753
338	-7.52770863269727
339	-7.674440391988395
340	-7.4399999999999995
341	-7.571128437003071
342	-7.516331485310741
343	-7.406943973218002
344	-7.4566305778123905
345	-7.550377948501473
346	-7.535257678662477
347	-7.741098614726682
348	-7.497061363407359
349	-7.54537539402852
350	-7.364004716987692
351	-7.673554726158539
352	-7.388420257352538
353	-7.548137121395472
354	-7.497099036448796
355	-7.706274552199258
356	-7.38344774637641
357	-7.623650979308799
358	-7.619195588240883
359	-7.591868819680172
360	-7.553575080342703
361	-7.4028514331483235
362	-7.553475577677831
363	-7.534917912459214
364	-7.489486557735935
365	-7.496295988679736
366	-7.615036443535898
367	-7.606084977592733
368	-7.472619665484486
369	-7.6012770294692205
370	-7.7140332191018075
371	-7.434262333567841
372	-7.481543537859751
373	-7.499497277298914
374	-7.501477893229658
375	-7.5744403919883965
376	-7.504290974990391
377	-7.7140332191018075
378	-7.300614630662248
379	-7.778215233747196
380	-7.548137121395472
381	-7.530257161752047
382	-7.339006136773134
383	-7.553575080342703
384	-7.513942890050825
385	-7.656557020933573
386	-7.4248209634095765
387	-7.400224733287935
388	-7.395156723749951
389	-7.645136368466586
390	-7.405852317308392
391	-7.610683187635339
392	-7.498649141842637
393	-7.46170537167402
394	-7.704679864437814
395	-7.57383091505871
396	-7.490028571661812
397	-7.571400560448449
398	-7.580793817499002
399	-7.484584644265979
400	-7.528455726062358
401	-7.662546296931378
402	-7.635735445624725
403	-7.4986491418426375
404	-7.616974044687301
405	-7.510347625894055
406	-7.634143658306711
407	-7.507173710831561
408	-7.609607370198471
409	-7.579528853921107
410	-7.583551778260432
411	-7.481543537859751
412	-7.6357699685781855
413	-7.57280959728259
414	-7.455031969570858
415	-7.535981651472668
416	-7.316149393065297
417	-7.509585682778664
418	-7.469596817891347
419	-7.4732711453608855
420	-7.432708075689158
421	-7.4916858679974885
422	-7.472968591111069
423	-7.403724963766003
424	-7.33858813371932
425	-7.651541388336629
426	-7.5708383534209425
427	-7.606057177149717
428	-7.482819876160652
429	-7.49687804581186
430	-7.472968591111069
431	-7.667870606340157
432	-7.591448660824641
433	-7.470488574340485
434	-7.495089533888794
435	-7.312423404398146
436	-7.406315185207665
437	-7.568241087645995
438	-7.433647826734429
439	-7.44489554621465
440	-7.612187060848848
441	-7.44489554621465
442	-7.579711006796842
443	-7.4961670614586815
444	-7.521543537859749
445	-7.530257161752047
446	-7.386294979992652
447	-7.6128247255576555
448	-7.484090519448753
449	-7.533798361043123
450	-7.33858813371932
451	-7.501623726829534
452	-7.467683063741236
453	-7.44489554621465
454	-7.588922972372516
455	-7.571836002900705
456	-7.464642892864287
457	-7.420400045724738
458	-7.436853563553125
459	-7.45102238819824
460	-7.690147935468907
461	-7.611145618000168
462	-7.530457045400673
463	-7.45463914178967
464	-7.487624492632584
465	-7.51310704773231
466	-7.620877418088451
467	-7.513658885216676
468	-7.553475577677831
469	-7.484323492211621
470	-7.478636891495681
471	-7.586790586685427
472	-7.331667479674989
473	-7.377167919967196
474	-7.383972428621468
475	-7.524135081221932
