E	V
1	-27.502307337052905
2	-11.265606568553224
3	-11.06822318112423
4	-11.050692626586871
5	-10.949511425659516
6	-10.937541129701959
7	-11.18510162321754
8	-11.260319121851396
9	-10.879348987036131
10	-11.040949468857232
11	-11.152388542545197
12	-10.887936650448765
13	-10.98397278890577
14	-11.20114718141388
15	-10.99567650778838
16	-10.726834330885257
17	-10.90236832111419
18	-11.024166468725246
19	-11.184938355123263
20	-11.057622748252522
21	-10.94383293854132
22	-10.894747686953556
23	-10.972727746953034
24	-10.739397481015324
25	-10.741461363864227
26	-11.09666352200978
27	-11.00961305067566
28	-11.450078532416926
29	-11.052455923288361
30	-10.966828471338939
31	-11.039122581911549
32	-11.108304757264463
33	-10.954992877478425
34	-11.238477631085026
35	-11.188173219908567
36	-11.179462287867112
37	-11.029858751426227
38	-10.825559608011604
39	-11.160681686165901
40	-11.137998946258929
41	-11.313129002458846
42	-10.830462896829175
43	-11.224119499921017
44	-10.942314870444864
45	-10.947288449019911
46	-11.123025955312698
47	-11.05235637712694
48	-11.157622748252521
49	-11.15229136730273
50	-11.291477907470298
51	-11.01827500701126
52	-11.07705650691135
53	-11.113466661818533
54	-11.195941494197474
55	-10.972004514666935
56	-11.176018223140067
57	-11.119392163131034
58	-11.420471146078894
59	-11.336591454545376
60	-11.179617446353198
61	-11.152375507367417
62	-10.758833938742683
63	-11.258350901228914
64	-11.251922129594314
65	-11.110780170905596
66	-11.012810256380419
67	-11.07490896126385
68	-11.184832432150406
69	-11.173945974939716
70	-10.97845646214025
71	-10.827455292704222
72	-11.079617446353199
73	-10.908668114224936
74	-11.364492016346336
75	-11.051357848626331
76	-10.919599954275261
77	-10.947288449019911
78	-10.818186172523358
79	-11.06822318112423
80	-11.257038579078094
81	-11.006504967807254
82	-10.788981161101017
83	-11.041186043305446
84	-11.144781154404935
85	-11.195770618270103
86	-11.193788104007872
87	-11.029742838247952
88	-11.052455923288361
89	-10.843056076587027
90	-11.280449381476485
91	-10.919090674183682
92	-11.276206739783403
93	-11.096963702499293
94	-11.26865334794732
95	-10.931517172080024
96	-11.074743749123403
97	-11.336096190067
98	-11.268653347947321
99	-10.954369318172235
100	-11.104030338121236
101	-10.959101554729369
102	-11.012810256380419
103	-11.140056496273493
104	-11.06502212374942
105	-11.193788104007872
106	-11.188854381999834
107	-11.072643317695222
108	-10.999392163131033
109	-10.830911520332554
110	-10.920470523119999
111	-11.150762547604845
112	-11.124882267628557
113	-11.226543661249293
114	-10.96635217326557
115	-11.06894854956022
116	-11.108314132002514
117	-10.920288993203158
118	-11.181703720833898
119	-11.281473113141493
120	-11.05804362362891
121	-11.113835714721706
122	-11.086057109949175
123	-10.961213447267552
124	-11.083484841824843
125	-10.812808317559906
126	-11.052442144923644
127	-10.700059879166012
128	-11.188854381999834
129	-11.073122350794977
130	-11.216279098138571
131	-11.051739495622922
132	-10.965385112517744
133	-11.163330303027799
134	-11.141221807551752
135	-11.085306241087293
136	-11.11281025638042
137	-11.090516231930597
138	-11.446465853042598
139	-11.14661853126194
140	-10.825653025092562
141	-11.42371972437515
142	-10.867380334515513
143	-10.90869136263612
144	-11.17414363469547
145	-10.879122581911549
146	-10.896782633497855
147	-11.10818343578057
148	-11.233625498859682
149	-10.97274348938324
150	-11.211077027627486
151	-11.167048114148853
152	-11.151692778092023
153	-10.78692706346815
154	-11.249324200890694
155	-11.270618176843385
156	-11.411417008269991
157	-11.135851599661502
158	-11.416924732606274
159	-11.285643519209493
160	-11.285074930350255
161	-10.86154690686879
162	-11.057839583124695
163	-11.085074930350256
164	-11.00673101553195
165	-10.904824921385849
166	-10.87934898703613
167	-10.960282463337418
168	-10.9758515996615
169	-11.093926359278829
170	-11.321086635658409
171	-11.173945974939716
172	-11.238086431217079
173	-11.024119499921017
174	-11.278065264308786
175	-11.174207146716443
176	-10.919090674183682
177	-11.11281025638042
178	-11.046459432015517
179	-10.890451745760773
180	-11.44548949357599
181	-11.1796738841436
182	-11.21748493969831
183	-10.937975694273506
184	-11.362793601019716
185	-10.896202753136857
