E	A
1	100.0
2	90.97
3	91.15
4	91.2
5	91.14
6	91.17
7	91.1
8	91.33
9	90.99
10	91.14
11	91.2
12	91.1
13	91.25
14	91.16
15	91.1
16	91.21
17	91.13
18	91.32
19	91.31
20	91.19
21	91.29
22	91.26
23	91.18
24	91.16
25	91.13
26	91.24
27	91.16
28	91.2
29	91.11
30	91.15
31	91.25
32	91.06
33	91.2
34	91.15
35	91.28
36	91.28
37	91.13
38	91.08
39	91.34
40	91.26
41	91.34
42	91.16
43	91.17
44	91.22
45	91.24
46	91.2
47	91.14
48	91.22
49	91.27
50	91.08
51	91.14
52	91.34
53	91.21
54	91.15
55	91.26
56	91.15
57	91.05
58	91.06
59	91.14
60	91.2
61	91.17
62	91.24
63	91.15
64	91.22
65	91.15
66	91.26
67	91.22
68	91.13
69	91.24
70	91.13
71	91.06
72	91.25
73	91.17
74	91.16
75	91.22
76	91.14
77	91.14
78	91.22
79	91.17
80	91.12
81	91.12
82	91.1
83	91.17
84	91.14
85	91.25
86	91.25
87	91.1
88	91.1
89	91.11
90	91.28
91	91.16
92	91.35
93	91.17
94	91.15
95	91.25
96	91.2
97	91.25
98	91.18
99	91.13
100	91.21
101	91.14
102	91.17
103	91.17
104	91.24
105	91.03
106	91.18
107	91.22
108	91.15
109	91.17
110	91.28
111	91.18
112	91.22
113	91.26
114	91.24
115	91.26
116	91.13
117	91.13
118	91.19
119	91.11
120	91.16
121	91.26
122	91.19
123	91.18
124	91.1
125	91.17
126	91.1
127	91.14
128	91.21
129	91.27
130	91.11
131	91.27
132	91.14
133	91.23
134	91.13
135	91.22
136	91.16
137	91.19
138	91.26
139	91.24
140	91.09
141	91.15
142	91.01
143	91.22
144	91.08
145	91.09
146	91.16
147	91.18
148	91.11
149	91.23
150	91.17
151	91.17
152	91.08
153	91.17
154	91.16
155	91.15
156	91.14
157	91.33
158	91.17
159	91.21
160	91.24
161	91.22
162	91.21
163	91.07
164	91.23
165	91.3
166	91.2
167	91.03
168	91.18
169	91.03
170	91.09
171	91.21
172	91.25
173	91.22
174	91.16
175	91.32
176	91.16
177	91.18
178	91.19
179	91.09
180	91.1
181	91.22
182	91.16
183	91.22
184	91.14
185	91.23
186	91.27
187	91.04
188	91.22
189	91.22
190	90.97
191	91.39
192	91.06
193	91.28
194	90.98
195	91.23
196	91.16
197	91.22
198	91.17
199	91.07
200	91.17
201	91.2
202	91.11
203	91.06
204	91.09
205	91.2
206	91.23
207	91.15
208	91.24
209	91.12
210	91.19
211	91.13
212	91.24
213	91.14
214	91.19
215	91.16
216	91.13
217	91.25
218	91.29
219	91.14
220	91.22
221	91.14
222	91.28
223	91.38
224	91.1
225	91.22
226	91.2
227	91.21
228	91.1
229	91.18
230	91.11
231	91.17
232	91.08
233	91.32
234	91.14
235	91.24
236	91.12
237	91.18
238	91.24
239	91.11
240	91.08
241	91.24
242	91.12
243	91.12
244	91.23
245	91.04
246	91.12
247	91.15
248	91.18
249	91.24
250	91.11
251	91.2
252	91.15
253	91.08
254	91.07
255	91.38
256	91.12
257	91.2
258	91.19
259	91.23
260	91.25
261	91.18
262	91.09
263	91.13
264	91.15
265	91.38
266	91.12
267	91.13
268	91.22
269	91.29
270	91.24
271	91.23
272	91.18
273	91.05
274	91.2
275	91.07
276	91.34
277	91.09
278	91.22
279	91.18
280	91.32
281	91.27
282	91.27
283	91.23
284	91.19
285	91.23
286	91.26
287	91.22
288	91.23
289	91.23
290	91.08
291	91.07
292	91.23
293	91.2
294	91.2
295	91.15
296	91.12
297	91.16
298	91.22
299	91.18
300	91.2
301	91.1
302	91.14
303	91.2
304	91.2
305	91.23
306	91.28
307	91.26
308	91.08
309	91.23
310	91.24
311	91.21
312	91.33
313	91.11
314	91.11
315	91.15
316	91.13
317	91.05
318	91.14
319	91.12
