E	V
1	100.0
2	118.06850733896611
3	117.7091321394356
4	117.60378760708396
5	117.72759861288719
6	117.6777554689189
7	117.8059918370391
8	117.35654606358668
9	118.02978365298064
10	117.73135949890491
11	117.60984664855138
12	117.80486846999999
13	117.50352357303682
14	117.6898774968902
15	117.80486846999999
16	117.58396253883743
17	117.7494120896762
18	117.368370390487
19	117.3901437879472
20	117.6678001352076
21	117.44350645706996
22	117.49227782713504
23	117.64597060377722
24	117.68874667224219
25	117.74377650766608
26	117.52920691082178
27	117.68686185737018
28	117.60378760708396
29	117.78916602894473
30	117.712144115263
31	117.51532885764044
32	117.89088518852853
33	117.60719598897242
34	117.70649638035863
35	117.44565688072821
36	117.4628493483807
37	117.74565516758885
38	117.85188077068925
39	117.33739217690884
40	117.50104418654107
41	117.32661963395779
42	117.70909414650528
43	117.6653033573877
44	117.57131116282451
45	117.53453175091734
46	117.60908934439053
47	117.72759861288719
48	117.56485908104274
49	117.46803618594339
50	117.85374833675705
51	117.72571797036899
52	117.33277591947424
53	117.59533494197107
54	117.71364997510697
55	117.48694034766542
56	117.70875561843967
57	117.91014705842096
58	117.88902159975277
59	117.72233247854673
60	117.60378760708396
61	117.6649259293171
62	117.53034803877651
63	117.70611982199208
64	117.56637736008501
65	117.72117799421021
66	117.4857964607369
67	117.58269333736597
68	117.74452798754844
69	117.53795429306241
70	117.74715800005701
71	117.88305724558631
72	117.52065853761569
73	117.66832258842058
74	117.68346885307427
75	117.56637736008501
76	117.73135949890492
77	117.73399180266101
78	117.58307265855026
79	117.66832258842058
80	117.77005816128737
81	117.76593027086874
82	117.80748958625651
83	117.66907734242837
84	117.73399180266101
85	117.50657060623112
86	117.5096172858631
87	117.80973605260823
88	117.80748958625651
89	117.79890968173856
90	117.45138895817338
91	117.69816873863005
92	117.3158910881179
93	117.66794520335492
94	117.70574325828596
95	117.50733230928077
96	117.60492378326438
97	117.51951655436392
98	117.64559275738974
99	117.74490371953277
100	117.59078656901647
101	117.72647024333995
102	117.67171881218273
103	117.66417105704573
104	117.52426145053347
105	117.95339317396675
106	117.64559275738974
107	117.5697931680687
108	117.7091321394356
109	117.66832258842058
110	117.46132158619957
111	117.6508821160157
112	117.56675691617471
113	117.48694034766542
114	117.53643321821421
115	117.49380262180838
116	117.74340075976761
117	117.74415225025962
118	117.63681266239846
119	117.78729184156441
120	117.6921390015958
121	117.49265903411244
122	117.62849277095802
123	117.6557927171218
124	117.81085921493353
125	117.66303870830978
126	117.80748958625651
127	117.72571797036899
128	117.58964935324198
129	117.47185298790906
130	117.79178967011019
131	117.46689103691503
132	117.74226306162693
133	117.55141903469494
134	117.74678229989492
135	117.56751601195073
136	117.68346885307427
137	117.62319693113187
138	117.48808418470554
139	117.52350052789772
140	117.8265274484178
141	117.7113911533263
142	117.98424512382135
143	117.56675691617471
144	117.84814524766333
145	117.82540536442264
146	117.69289279366276
147	117.6452149056077
148	117.78766668957385
149	117.55027925383773
150	117.67020943313469
151	117.6637936128445
152	117.84478283117576
153	117.6653033573877
154	117.68196071183277
155	117.71364997510697
156	117.73925562868256
157	117.3484761275521
158	117.68454506492616
159	117.58661653813847
160	117.52235910263764
161	117.58003793623978
162	117.58737477460559
163	117.86599037169552
164	117.54837950938472
165	117.41455532839876
166	117.62385286062577
167	117.94187656035899
168	117.65050433973633
169	117.94373441200607
170	117.82241291017328
171	117.58396253883743
172	117.51723243891522
173	117.57244960150764
174	117.69402344161173
175	117.37527969529401
176	117.68120660905157
177	117.64597060377722
178	117.63000567322177
179	117.8291454612895
180	117.80524293093023
181	117.57434689002936
182	117.68761579938915
183	117.58838258217595
184	117.736999830808
185	117.55901631280594
